Milliseconds ago,r_asn
-454716273,36727
-454343860,3
-453971447,209
-453599034,680
-453226621,2711
-452854208,3265
-452481795,3269
-452109382,3320
-451736969,3462
-451364556,3561
-450992143,4134
-450619730,4230
-450247317,4513
-449874904,4766
-449502491,5617
-449130078,5668
-448757665,6388
-448385252,6461
-448012839,6478
-447640426,7015
-447268013,7132
-446895600,7303
-446523187,7718
-446150774,9271
-445778361,9394
-445405948,9808
-445033535,9908
-444661122,9929
-444288709,11427
-443916296,11456
-443543883,12271
-443171470,12302
-442799057,12322
-442426644,13767
-442054231,14742
-441681818,14777
-441309405,14778
-440936992,14780
-440564579,15169
-440192166,17974
-439819753,18229
-439447340,19318
-439074927,19429
-438702514,20676
-438330101,22773
-437957688,32244
-437585275,33287
-437212862,33651
-436840449,33668
-436468036,1312
-436095623,2637
-435723210,3269
-435350797,3561
-434978384,3701
-434605971,4323
-434233558,4513
-433861145,4766
-433488732,5617
-433116319,6106
-432743906,7018
-432371493,7065
-431999080,7132
-431626667,7377
-431254254,9316
-430881841,9394
-430509428,12260
-430137015,16572
-429764602,18229
-429392189,19306
-429019776,29863
-428647363,30099
-428274950,680
-427902537,3269
-427530124,4134
-427157711,4230
-426785298,4513
-426412885,4766
-426040472,4808
-425668059,7132
-425295646,9271
-424923233,9394
-424550820,17429
-424178407,18229
-423805994,19318
-423433581,3269
-423061168,4513
-422688755,4766
-422316342,7132
-421943929,9394
-421571516,9803
-421199103,14777
-420826690,18229
-420454277,22855
-420081864,31976
-419709451,680
-419337038,2152
-418964625,3269
-418592212,3561
-418219799,4134
-417847386,4230
-417474973,4513
-417102560,4766
-416730147,4808
-416357734,6432
-415985321,7132
-415612908,8070
-415240495,8075
-414868082,9156
-414495669,9271
-414123256,9316
-413750843,9394
-413378430,12222
-413006017,13867
-412633604,14779
-412261191,15169
-411888778,18229
-411516365,19318
-411143952,21844
-410771539,22781
-410399126,26085
-410026713,26101
-409654300,26201
-409281887,680
-408909474,3269
-408537061,4134
-408164648,4230
-407792235,4513
-407419822,4766
-407047409,4808
-406674996,4837
-406302583,7132
-405930170,9271
-405557757,9394
-405185344,9808
-404812931,18229
-404440518,19318
-404068105,23844
-403695692,33314
-403323279,3
-402950866,109
-402578453,1103
-402206040,1239
-401833627,1784
-401461214,2152
-401088801,2637
-400716388,2914
-400343975,3320
-399971562,3356
-399599149,3561
-399226736,3701
-398854323,4264
-398481910,6102
-398109497,6432
-397737084,6461
-397364671,7018
-396992258,7132
-396619845,8070
-396247432,8075
-395875019,8121
-395502606,8560
-395130193,9156
-394757780,10565
-394385367,10910
-394012954,12182
-393640541,12222
-393268128,13649
-392895715,13749
-392523302,14745
-392150889,14992
-391778476,15169
-391406063,16966
-391033650,18924
-390661237,19024
-390288824,19355
-389916411,21844
-389543998,23352
-389171585,25751
-388799172,30081
-388426759,30380
-388054346,33694
-387681933,25
-387309520,109
-386937107,786
-386564694,2386
-386192281,2553
-385819868,2843
-385447455,3561
-385075042,3701
-384702629,3999
-384330216,4267
-383957803,4323
-383585390,6307
-383212977,6334
-382840564,7132
-382468151,7258
-382095738,8070
-381723325,10763
-381350912,11734
-380978499,11771
-380606086,12222
-380233673,13749
-379861260,15169
-379488847,17820
-379116434,18229
-378744021,22822
-378371608,23123
-377999195,30217
-377626782,30315
-377254369,30387
-376881956,102
-376509543,209
-376137130,797
-375764717,1239
-375392304,2013
-375019891,2152
-374647478,3356
-374275065,3561
-373902652,3707
-373530239,4355
-373157826,6307
-372785413,6334
-372413000,6432
-372040587,6453
-371668174,6939
-371295761,7018
-370923348,7224
-370550935,7743
-370178522,7912
-369806109,8002
-369433696,8070
-369061283,10565
-368688870,10763
-368316457,10794
-367944044,11266
-367571631,12168
-367199218,12179
-366826805,12182
-366454392,12217
-366081979,14297
-365709566,14443
-365337153,14744
-364964740,15104
-364592327,15169
-364219914,17392
-363847501,19296
-363475088,19355
-363102675,19536
-362730262,20461
-362357849,30678
-361985436,701
-361613023,2152
-361240610,3064
-360868197,3269
-360495784,3462
-360123371,3561
-359750958,4538
-359378545,4766
-359006132,4808
-358633719,4812
-358261306,4837
-357888893,5760
-357516480,6724
-357144067,7018
-356771654,7029
-356399241,7132
-356026828,8167
-355654415,9121
-355282002,9800
-354909589,10796
-354537176,11172
-354164763,11398
-353792350,13462
-353419937,13609
-353047524,14780
-352675111,18229
-352302698,19191
-351930285,19262
-351557872,20172
-351185459,22291
-350813046,22773
-350440633,22909
-350068220,23520
-349695807,26085
-349323394,27262
-348950981,31976
-348578568,33774
-348206155,35908
-347833742,852
-347461329,1103
-347088916,2418
-346716503,2516
-346344090,2828
-345971677,3242
-345599264,3265
-345226851,3269
-344854438,3354
-344482025,3356
-344109612,3462
-343737199,3561
-343364786,3741
-342992373,4134
-342619960,4266
-342247547,4323
-341875134,4589
-341502721,4766
-341130308,4812
-340757895,4837
-340385482,5379
-340013069,6713
-339640656,8075
-339268243,8708
-338895830,9269
-338523417,9271
-338151004,9800
-337778591,9808
-337406178,9812
-337033765,9929
-336661352,11232
-336288939,11351
-335916526,12302
-335544113,14777
-335171700,14778
-334799287,15169
-334426874,17429
-334054461,18229
-333682048,19191
-333309635,20115
-332937222,22773
-332564809,31094
-332192396,33651
-331819983,81
-331447570,1312
-331075157,2914
-330702744,3269
-330330331,3462
-329957918,3561
-329585505,4812
-329213092,5617
-328840679,7018
-328468266,7065
-328095853,7132
-327723440,7377
-327351027,9800
-326978614,18229
-326606201,19181
-326233788,29863
-325861375,30099
-325488962,33260
-325116549,852
-324744136,2418
-324371723,3269
-323999310,3354
-323626897,4134
-323254484,4589
-322882071,4812
-322509658,9271
-322137245,9800
-321764832,9812
-321392419,18229
-321020006,27699
-320647593,3269
-320275180,4323
-319902767,4812
-319530354,7132
-319157941,9800
-318785528,14778
-318413115,18229
-318040702,20001
-317668289,29895
-317295876,31976
-316923463,33651
-316551050,852
-316178637,2152
-315806224,2418
-315433811,3269
-315061398,3354
-314688985,3356
-314316572,3561
-313944159,4134
-313571746,4589
-313199333,4812
-312826920,8070
-312454507,8075
-312082094,9271
-311709681,9800
-311337268,9812
-310964855,13867
-310592442,18229
-310220029,19191
-309847616,27699
-309475203,4
-309102790,852
-308730377,2418
-308357964,3269
-307985551,3354
-307613138,4134
-307240725,4589
-306868312,4812
-306495899,9271
-306123486,9800
-305751073,9808
-305378660,9812
-305006247,9929
-304633834,17429
-304261421,18229
-303889008,19191
-303516595,27699
-303144182,109
-302771769,209
-302399356,852
-302026943,2152
-301654530,3356
-301282117,3561
-300909704,4264
-300537291,6432
-300164878,7018
-299792465,8070
-299420052,9156
-299047639,9271
-298675226,10565
-298302813,12168
-297930400,15169
-297557987,17225
-297185574,18924
-296813161,19306
-296440748,21568
-296068335,21844
-295695922,22758
-295323509,25751
-294951096,27699
-294578683,29668
-294206270,3
-293833857,38
-293461444,109
-293089031,209
-292716618,271
-292344205,559
-291971792,701
-291599379,786
-291226966,852
-290854553,1668
-290482140,2152
-290109727,3268
-289737314,3462
-289364901,3561
-288992488,3701
-288620075,4265
-288247662,4266
-287875249,4378
-287502836,5662
-287130423,5719
-286758010,6140
-286385597,6453
-286013184,7377
-285640771,8001
-285268358,8070
-284895945,8075
-284523532,9271
-284151119,10913
-283778706,11078
-283406293,11486
-283033880,12552
-282661467,13890
-282289054,14492
-281916641,15169
-281544228,17374
-281171815,18229
-280799402,22205
-280426989,22822
-280054576,22982
-279682163,27357
-279309750,30315
-278937337,33070
-278564924,33554
-278192511,36017
-277820098,7132
-277447685,8070
-277075272,11922
-276702859,553
-276330446,701
-275958033,1967
-275585620,2514
-275213207,3269
-274840794,3320
-274468381,3356
-274095968,3561
-273723555,3786
-273351142,4134
-272978729,4230
-272606316,4323
-272233903,4538
-271861490,4544
-271489077,4788
-271116664,4837
-270744251,5617
-270371838,5778
-269999425,6432
-269627012,6461
-269254599,6471
-268882186,6478
-268509773,6724
-268137360,6939
-267764947,8708
-267392534,9121
-267020121,11305
-266647708,11351
-266275295,11427
-265902882,13462
-265530469,13749
-265158056,13867
-264785643,14492
-264413230,15802
-264040817,16814
-263668404,19296
-263295991,20401
-262923578,21864
-262551165,26085
-262178752,27715
-261806339,29571
-261433926,33287
-261061513,55
-260689100,286
-260316687,553
-259944274,680
-259571861,2852
-259199448,3265
-258827035,3561
-258454622,4134
-258082209,4266
-257709796,4323
-257337383,4538
-256964970,4766
-256592557,4808
-256220144,4837
-255847731,6327
-255475318,6478
-255102905,7543
-254730492,8342
-254358079,9304
-253985666,9768
-253613253,9800
-253240840,9808
-252868427,10197
-252496014,10292
-252123601,12302
-251751188,12742
-251378775,13749
-251006362,13767
-250633949,13768
-250261536,14778
-249889123,14780
-249516710,15169
-249144297,17897
-248771884,24086
-248399471,27645
-248027058,27715
-247654645,32795
-247282232,33287
-246909819,39386
-246537406,16
-246164993,47
-245792580,81
-245420167,209
-245047754,1312
-244675341,3561
-244302928,4323
-243930515,4766
-243558102,4837
-243185689,5617
-242813276,7018
-242440863,7065
-242068450,7132
-241696037,7377
-241323624,9506
-240951211,9800
-240578798,12513
-240206385,13749
-239833972,19918
-239461559,21840
-239089146,29863
-238716733,30099
-238344320,286
-237971907,553
-237599494,4134
-237227081,4538
-236854668,4766
-236482255,4837
-236109842,9812
-235737429,10292
-235365016,13749
-234992603,27715
-234620190,553
-234247777,4323
-233875364,4760
-233502951,4766
-233130538,4837
-232758125,7132
-232385712,9800
-232013299,13749
-231640886,14778
-231268473,22855
-230896060,27715
-230523647,31976
-230151234,33651
-229778821,4
-229406408,286
-229033995,553
-228661582,2152
-228289169,3356
-227916756,3561
-227544343,4538
-227171930,4766
-226799517,4837
-226427104,8070
-226054691,8075
-225682278,10292
-225309865,13749
-224937452,13867
-224565039,27715
-224192626,286
-223820213,553
-223447800,4134
-223075387,4538
-222702974,4766
-222330561,4808
-221958148,4837
-221585735,9808
-221213322,10292
-220840909,13749
-220468496,18118
-220096083,27715
-219723670,3
-219351257,109
-218978844,286
-218606431,1239
-218234018,2152
-217861605,3356
-217489192,3701
-217116779,6408
-216744366,8070
-216371953,8560
-215999540,9156
-215627127,10292
-215254714,10565
-214882301,12222
-214509888,14992
-214137475,15169
-213765062,18924
-213392649,19306
-213020236,21844
-212647823,26711
-212275410,3
-211902997,14
-211530584,71
-211158171,109
-210785758,137
-210413345,209
-210040932,225
-209668519,577
-209296106,701
-208923693,1668
-208551280,1712
-208178867,1715
-207806454,2152
-207434041,2200
-207061628,2514
-206689215,2611
-206316802,2846
-205944389,3356
-205571976,3561
-205199563,3598
-204827150,3701
-204454737,4682
-204082324,4725
-203709911,4766
-203337498,5662
-202965085,6459
-202592672,6510
-202220259,7859
-201847846,8001
-201475433,8070
-201103020,8075
-200730607,9457
-200358194,9800
-199985781,10292
-199613368,11078
-199240955,11486
-198868542,13749
-198496129,15169
-198123716,15598
-197751303,21844
-197378890,26101
-197006477,26228
-196634064,29720
-196261651,30217
-195889238,30315
-195516825,102
-195144412,174
-194771999,209
-194399586,237
-194027173,559
-193654760,1668
-193282347,2013
-192909934,2152
-192537521,2714
-192165108,2828
-191792695,2914
-191420282,3356
-191047869,3561
-190675456,3701
-190303043,4182
-189930630,4323
-189558217,4436
-189185804,6307
-188813391,6318
-188440978,6432
-188068565,6453
-187696152,6939
-187323739,7132
-186951326,7342
-186578913,7743
-186206500,7912
-185834087,8002
-185461674,8070
-185089261,8075
-184716848,8182
-184344435,10316
-183972022,10565
-183599609,10763
-183227196,10794
-182854783,11486
-182482370,11734
-182109957,11944
-181737544,12111
-181365131,12168
-180992718,12179
-180620305,12182
-180247892,13756
-179875479,14297
-179503066,14744
-179130653,14745
-178758240,14835
-178385827,15104
-178013414,15169
-177641001,15270
-177268588,15496
-176896175,17020
-176523762,17225
