-3600000,3.976
-3540000,3.98
-3480000,3.392
-3420000,1.9
-3360000,3.008
-3300000,3.91
-3240000,4.104
-3180000,4.282
-3120000,4.618
-3060000,5.34
-3000000,5.334
-2940000,5.328
-2880000,3.646
-2820000,3.566
-2760000,5.12
-2700000,5.152
-2640000,5.172
-2580000,5.162
-2520000,5.15
-2460000,5.224
-2400000,4.88
-2340000,2.964
-2280000,6.012
-2220000,6.932
-2160000,6.958
-2100000,6.972
-2040000,6.936
-1980000,7.018
-1920000,7.01
-1860000,6.944
-1800000,5.578
-1740000,4.638
-1680000,4.808
-1620000,4.836
-1560000,4.778
-1500000,5.032
-1440000,6.954
-1380000,7.144
-1320000,3.184
-1260000,3.528
-1200000,6.504
-1140000,8.334
-1080000,8.304
-1020000,8.284
-960000,7.714
-900000,7.232
-840000,7.232
-780000,6.138
-720000,3.432
-660000,4.716
-600000,8.24
-540000,8.57
-480000,7.946
-420000,7.97
-360000,6.978
-300000,5.49
-240000,3.66
-180000,3.528
-120000,4.45
-60000,5.574
0,5.48
